IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
192.18.140.32,443,true,SJC,North America,San Jose,175 ms,10319 kB/s
84.8.148.235,8443,true,LHR,Europe,London,250 ms,6379 kB/s
35.246.191.74,443,true,FRA,Europe,Frankfurt,227 ms,6329 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,270 ms,5890 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,243 ms,5659 kB/s
34.123.83.237,443,true,ORD,North America,Chicago,260 ms,5557 kB/s
144.21.43.195,443,true,FRA,Europe,Frankfurt,258 ms,5392 kB/s
34.116.157.41,443,true,FRA,Europe,Frankfurt,268 ms,5146 kB/s
204.216.105.106,8443,true,YUL,North America,Montréal,259 ms,5074 kB/s
193.123.81.105,443,true,FRA,Europe,Frankfurt,193 ms,4847 kB/s
152.70.155.147,443,true,LAX,North America,Los Angeles,247 ms,4759 kB/s
152.70.155.147,2053,true,LAX,North America,Los Angeles,251 ms,4674 kB/s
152.70.155.147,2087,true,LAX,North America,Los Angeles,256 ms,4508 kB/s
152.70.155.147,2083,true,LAX,North America,Los Angeles,250 ms,4484 kB/s
141.148.237.119,443,true,FRA,Europe,Frankfurt,256 ms,4446 kB/s
144.24.240.193,8443,true,MXP,Europe,Milan,263 ms,4303 kB/s
144.21.51.110,443,true,LHR,Europe,London,238 ms,4287 kB/s
152.70.155.147,2096,true,LAX,North America,Los Angeles,245 ms,4246 kB/s
152.70.155.147,8443,true,LAX,North America,Los Angeles,249 ms,4093 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,243 ms,4001 kB/s
158.101.11.22,8443,true,LAX,North America,Los Angeles,241 ms,3934 kB/s
155.248.202.141,443,true,SJC,North America,San Jose,175 ms,3878 kB/s
132.145.54.84,2053,true,LHR,Europe,London,253 ms,3774 kB/s
152.70.148.46,2053,true,LAX,North America,Los Angeles,261 ms,3740 kB/s
150.136.241.40,8443,true,IAD,North America,Ashburn,266 ms,3148 kB/s
129.146.248.140,443,true,LAX,North America,Los Angeles,284 ms,3100 kB/s
129.153.213.8,443,true,LAX,North America,Los Angeles,258 ms,2897 kB/s
150.230.122.76,443,true,LHR,Europe,London,238 ms,2869 kB/s
143.47.243.144,8443,true,LHR,Europe,London,245 ms,2764 kB/s
140.238.195.98,443,true,SYD,Oceania,Sydney,323 ms,2706 kB/s
34.163.89.60,2053,true,CDG,Europe,Paris,329 ms,2680 kB/s
129.159.83.88,8443,true,IAD,North America,Ashburn,249 ms,2614 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,261 ms,2591 kB/s
34.154.29.216,443,true,FRA,Europe,Frankfurt,235 ms,2095 kB/s
34.89.142.227,443,true,FRA,Europe,Frankfurt,240 ms,2073 kB/s
132.145.54.84,8443,true,LHR,Europe,London,255 ms,2054 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,227 ms,1647 kB/s
34.141.162.183,443,true,FRA,Europe,Frankfurt,238 ms,1570 kB/s
138.3.254.39,443,true,FRA,Europe,Frankfurt,279 ms,1548 kB/s
143.47.243.144,2053,true,LHR,Europe,London,247 ms,1420 kB/s
130.61.203.115,2053,true,FRA,Europe,Frankfurt,266 ms,1401 kB/s
158.101.15.48,443,true,LAX,North America,Los Angeles,238 ms,1391 kB/s
129.153.119.97,443,true,LAX,North America,Los Angeles,262 ms,1390 kB/s
152.70.59.90,8443,true,AMS,Europe,Amsterdam,266 ms,1321 kB/s
34.154.55.116,443,true,FRA,Europe,Frankfurt,249 ms,1276 kB/s
89.168.118.76,443,true,FRA,Europe,Frankfurt,278 ms,1271 kB/s
192.18.148.248,443,true,YYZ,North America,Toronto,237 ms,1216 kB/s
34.154.106.76,443,true,FRA,Europe,Frankfurt,253 ms,1180 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,332 ms,1159 kB/s
141.147.115.98,443,true,FRA,Europe,Frankfurt,257 ms,1119 kB/s
158.101.212.155,443,true,FRA,Europe,Frankfurt,265 ms,972 kB/s
152.70.234.188,443,true,NRT,Asia Pacific,Tokyo,90 ms,867 kB/s
152.67.78.164,8443,true,MXP,Europe,Milan,265 ms,729 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,280 ms,713 kB/s
34.118.23.155,443,true,FRA,Europe,Frankfurt,271 ms,492 kB/s
152.67.249.123,443,true,SJC,North America,San Jose,186 ms,457 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,349 ms,364 kB/s
146.56.102.163,443,true,ICN,Asia Pacific,Seoul,142 ms,262 kB/s
130.61.109.6,2053,true,FRA,Europe,Frankfurt,264 ms,198 kB/s
144.24.169.81,8443,true,FRA,Europe,Frankfurt,257 ms,134 kB/s
130.61.239.203,2053,true,FRA,Europe,Frankfurt,262 ms,128 kB/s
129.154.50.220,443,true,ICN,Asia Pacific,Seoul,138 ms,109 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,276 ms,105 kB/s
132.145.93.198,2083,true,NRT,Asia Pacific,Tokyo,89 ms,99 kB/s
158.180.68.56,443,true,ICN,Asia Pacific,Seoul,146 ms,96 kB/s
141.147.61.116,8443,true,FRA,Europe,Frankfurt,262 ms,89 kB/s
144.24.173.250,2096,true,FRA,Europe,Frankfurt,259 ms,89 kB/s
158.101.215.45,8443,true,AMS,Europe,Amsterdam,281 ms,83 kB/s
130.162.52.114,443,true,FRA,Europe,Frankfurt,261 ms,73 kB/s
